#Created with RMG on Sat Dec  6 22:46:19 2025
#pdos0: total, pdos1,pdos2,pdos3: magnetic rhoa#*_a, *_b, *_c: projected on lattice vectors a,b, c#    x[Angstrom]      E[eV]      pdos

   0.000000  -4.000000 2.725853e-02
   0.111011  -4.000000 2.759403e-02
   0.222023  -4.000000 2.784540e-02
   0.333034  -4.000000 2.796209e-02
   0.444046  -4.000000 2.798522e-02
   0.555057  -4.000000 2.796431e-02
   0.666069  -4.000000 2.797849e-02
   0.777080  -4.000000 2.798864e-02
   0.888092  -4.000000 2.792831e-02
   0.999103  -4.000000 2.769097e-02
   1.110115  -4.000000 2.721764e-02
   1.221126  -4.000000 2.661408e-02
   1.332138  -4.000000 2.605255e-02
   1.443149  -4.000000 2.573247e-02
   1.554161  -4.000000 2.569438e-02
   1.665172  -4.000000 2.582571e-02
   1.776184  -4.000000 2.594619e-02
   1.887195  -4.000000 2.588115e-02
   1.998207  -4.000000 2.567729e-02
   2.109218  -4.000000 2.544343e-02
   2.220230  -4.000000 2.536027e-02
   2.331241  -4.000000 2.550274e-02
   2.442253  -4.000000 2.577960e-02
   2.553264  -4.000000 2.608625e-02
   2.664276  -4.000000 2.624375e-02
   2.775287  -4.000000 2.623800e-02
   2.886299  -4.000000 2.612269e-02
   2.997310  -4.000000 2.598054e-02
   3.108322  -4.000000 2.588490e-02
   3.219333  -4.000000 2.576125e-02
   3.330345  -4.000000 2.554435e-02
   3.441356  -4.000000 2.516163e-02
   3.552368  -4.000000 2.465829e-02
   3.663379  -4.000000 2.417327e-02
   3.774391  -4.000000 2.385644e-02
   3.885402  -4.000000 2.380503e-02
   3.996414  -4.000000 2.397456e-02
   4.107425  -4.000000 2.423392e-02
   4.218437  -4.000000 2.442106e-02
   4.329448  -4.000000 2.447923e-02
   4.440459  -4.000000 2.444487e-02
   4.551471  -4.000000 2.441976e-02
   4.662482  -4.000000 2.447284e-02
   4.773494  -4.000000 2.455091e-02
   4.884505  -4.000000 2.456877e-02
   4.995517  -4.000000 2.438179e-02
   5.106528  -4.000000 2.398654e-02
   5.217540  -4.000000 2.350705e-02
   5.328551  -4.000000 2.309084e-02
   5.439563  -4.000000 2.289907e-02
   5.550574  -4.000000 2.288364e-02
   5.661586  -4.000000 2.292590e-02
   5.772597  -4.000000 2.288018e-02
   5.883609  -4.000000 2.264997e-02
   5.994620  -4.000000 2.233349e-02
   6.105632  -4.000000 2.205641e-02
   6.216643  -4.000000 2.196956e-02
   6.327655  -4.000000 2.209744e-02
   6.438666  -4.000000 2.233221e-02
   6.549678  -4.000000 2.253054e-02
   6.660689  -4.000000 2.256075e-02
   6.771701  -4.000000 2.244653e-02
   6.882712  -4.000000 2.227452e-02
   6.993724  -4.000000 2.216721e-02
   7.104735  -4.000000 2.216323e-02
   7.215747  -4.000000 2.220668e-02
   7.326758  -4.000000 2.223019e-02
   7.437770  -4.000000 2.214160e-02
   7.548781  -4.000000 2.196660e-02
   7.659793  -4.000000 2.176413e-02
   7.770804  -4.000000 2.163012e-02
   7.881816  -4.000000 2.161707e-02
   7.992827  -4.000000 2.165674e-02
   8.103839  -4.000000 2.166315e-02
   8.214850  -4.000000 2.152785e-02
   8.325862  -4.000000 2.128383e-02
   8.436873  -4.000000 2.104423e-02
   8.547884  -4.000000 2.095124e-02
   8.658896  -4.000000 2.106017e-02
   8.769907  -4.000000 2.127014e-02
   8.880919  -4.000000 2.145111e-02
   8.991930  -4.000000 2.144568e-02
   9.102942  -4.000000 2.126615e-02
   9.213953  -4.000000 2.100946e-02
   9.324965  -4.000000 2.085110e-02
   9.435976  -4.000000 2.092932e-02
   9.546988  -4.000000 2.119499e-02
   9.657999  -4.000000 2.153096e-02
   9.769011  -4.000000 2.174561e-02
   9.880022  -4.000000 2.178149e-02
   9.991034  -4.000000 2.170766e-02
  10.102045  -4.000000 2.165683e-02
  10.213057  -4.000000 2.178504e-02
  10.324068  -4.000000 2.208869e-02
  10.435080  -4.000000 2.249376e-02
  10.546091  -4.000000 2.285511e-02
  10.657103  -4.000000 2.305967e-02
  10.768114  -4.000000 2.313297e-02
  10.879126  -4.000000 2.313929e-02
  10.990137  -4.000000 2.320740e-02
  11.101149  -4.000000 2.338919e-02
  11.212160  -4.000000 2.364629e-02
  11.323172  -4.000000 2.389042e-02
  11.434183  -4.000000 2.401690e-02
  11.545195  -4.000000 2.404558e-02
  11.656206  -4.000000 2.404230e-02
  11.767218  -4.000000 2.413172e-02
  11.878229  -4.000000 2.433425e-02
  11.989241  -4.000000 2.458858e-02
  12.100252  -4.000000 2.478471e-02
  12.211264  -4.000000 2.479605e-02
  12.322275  -4.000000 2.466429e-02
  12.433287  -4.000000 2.447748e-02
  12.544298  -4.000000 2.441448e-02
  12.655310  -4.000000 2.458907e-02
  12.766321  -4.000000 2.494847e-02
  12.877332  -4.000000 2.537079e-02
  12.988344  -4.000000 2.566683e-02
  13.099355  -4.000000 2.578353e-02
  13.210367  -4.000000 2.579242e-02
  13.321378  -4.000000 2.582345e-02
  13.432390  -4.000000 2.598154e-02
  13.543401  -4.000000 2.622152e-02
  13.654413  -4.000000 2.644536e-02
  13.765424  -4.000000 2.651584e-02
  13.876436  -4.000000 2.641441e-02
  13.987447  -4.000000 2.621123e-02
  14.098459  -4.000000 2.604299e-02
  14.209470  -4.000000 2.603606e-02
  14.320482  -4.000000 2.620148e-02
  14.431493  -4.000000 2.647585e-02
  14.542505  -4.000000 2.670164e-02
  14.653516  -4.000000 2.680467e-02
  14.764528  -4.000000 2.680916e-02
  14.875539  -4.000000 2.682965e-02
  14.986551  -4.000000 2.698427e-02

   0.000000  -3.990000 5.144000e-02
   0.111011  -3.990000 5.187560e-02
   0.222023  -3.990000 5.214952e-02
   0.333034  -3.990000 5.220253e-02
   0.444046  -3.990000 5.211091e-02
   0.555057  -3.990000 5.197539e-02
   0.666069  -3.990000 5.193054e-02
   0.777080  -3.990000 5.190925e-02
   0.888092  -3.990000 5.180357e-02
   0.999103  -3.990000 5.141350e-02
   1.110115  -3.990000 5.063235e-02
   1.221126  -3.990000 4.962957e-02
   1.332138  -3.990000 4.870387e-02
   1.443149  -3.990000 4.820167e-02
   1.554161  -3.990000 4.818923e-02
   1.665172  -3.990000 4.847998e-02
   1.776184  -3.990000 4.875203e-02
   1.887195  -3.990000 4.868765e-02
   1.998207  -3.990000 4.835986e-02
   2.109218  -3.990000 4.795075e-02
   2.220230  -3.990000 4.777455e-02
   2.331241  -3.990000 4.797986e-02
   2.442253  -3.990000 4.843945e-02
   2.553264  -3.990000 4.899056e-02
   2.664276  -3.990000 4.931258e-02
   2.775287  -3.990000 4.934293e-02
   2.886299  -3.990000 4.916361e-02
   2.997310  -3.990000 4.891297e-02
   3.108322  -3.990000 4.872130e-02
   3.219333  -3.990000 4.847199e-02
   3.330345  -3.990000 4.804501e-02
   3.441356  -3.990000 4.731870e-02
   3.552368  -3.990000 4.637409e-02
   3.663379  -3.990000 4.548173e-02
   3.774391  -3.990000 4.493404e-02
   3.885402  -3.990000 4.490186e-02
   3.996414  -3.990000 4.530657e-02
   4.107425  -3.990000 4.589310e-02
   4.218437  -3.990000 4.635033e-02
   4.329448  -3.990000 4.655357e-02
   4.440459  -3.990000 4.655443e-02
   4.551471  -3.990000 4.654733e-02
   4.662482  -3.990000 4.666244e-02
   4.773494  -3.990000 4.683004e-02
   4.884505  -3.990000 4.692421e-02
   4.995517  -3.990000 4.670427e-02
   5.106528  -3.990000 4.615041e-02
   5.217540  -3.990000 4.544473e-02
   5.328551  -3.990000 4.481126e-02
   5.439563  -3.990000 4.451180e-02
   5.550574  -3.990000 4.447444e-02
   5.661586  -3.990000 4.451355e-02
   5.772597  -3.990000 4.438591e-02
   5.883609  -3.990000 4.392546e-02
   5.994620  -3.990000 4.330694e-02
   6.105632  -3.990000 4.277695e-02
   6.216643  -3.990000 4.261374e-02
   6.327655  -3.990000 4.287458e-02
   6.438666  -3.990000 4.336781e-02
   6.549678  -3.990000 4.381978e-02
